X,Y,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED,POINT_ID
23.4583617004715,43.1586741705973,1062.18,8.86,628.66,Forestry,Woodland,26,3.8,54122326
5.58502910527441,46.8191909654377,252.87,11.91,1042.75,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.0,39842644
16.1211474254005,50.3624344862666,297.95,8.61,655.48,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.5,47563046
27.1655146476623,56.3267391802542,154.99,6.48,515.77,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.15,53723818
16.2831652300329,53.4371564178446,136.0,8.53,646.92,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.65,47383388
0.020331743628387,44.6128976837673,100.6,13.57,759.72,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,2.45,35302442
-3.15489756417449,39.3040906784423,632.82,15.6,317.57,Agriculture (excluding fallow land and kitchen gardens),Bareland,7,3.0,31861900
4.91979890653575,43.864717128875,43.72,14.71,593.17,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,3.1,39122320
-1.13852405017937,40.7620098742603,1307.77,10.41,434.24,Semi-natural and natural areas not in use,Shrubland,15,3.65,33802032
1.58516509877755,49.9089367315317,196.06,10.91,788.56,Forestry,Woodland,15,3.75,37183012
2.49967089568101,50.1537596481749,144.02,10.46,817.99,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.25,37863032
-1.61582511815527,43.040226542591,831.48,11.2,1388.32,Agriculture (excluding fallow land and kitchen gardens),Shrubland,15,3.8,33762288
26.1163475025771,42.1621766629732,263.04,13.44,527.02,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,3.3,56462260
-6.31221672761301,53.2216574640074,501.38,9.35,1031.85,Agriculture (excluding fallow land and kitchen gardens),Shrubland,15,3.65,32423468
-3.62753610167862,40.3189968987476,548.35,15.83,372.27,Agriculture (excluding fallow land and kitchen gardens),Cropland,7,3.0,31642018
25.5007671569238,58.3409694876404,79.09,6.43,699.99,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.4,52224014
5.65183636254511,47.5971259576598,254.89,11.25,841.72,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.2,39942730
18.698131977331,53.9927892309355,74.67,8.41,554.91,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.8,48903466
17.3694379482434,50.0359067646014,663.12,6.96,845.38,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.45,48483018
-5.56691834925221,42.0477157389652,761.16,12.58,390.28,Semi-natural and natural areas not in use,Woodland,9,3.65,30382238
9.46670362887288,56.3484141648194,48.33,8.63,765.56,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,2.65,42883694
5.62706617326625,45.9912387284484,1077.93,9.34,1379.97,Forestry,Woodland,26,3.7,39822552
-6.6616435531294,40.3788491451336,833.17,12.37,760.94,Agriculture (excluding fallow land and kitchen gardens),Grassland,8,3.35,29122076
0.33785844248994,44.2436393121824,34.84,13.48,721.12,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,2.5,35502398
-3.16416002402877,39.9252334409461,788.67,14.73,343.15,Fallow land,Bareland,7,3.0,31961968
-4.73611553217867,37.7698360970691,163.35,18.04,536.45,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,2.4,30221758
-7.53216006497092,37.7693743871885,212.12,17.54,474.58,Forestry,Woodland,8,3.55,27801810
20.2388563230372,52.0967201754246,96.07,9.18,539.51,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.65,50203270
15.5119448191429,53.0782919921252,85.39,9.15,589.54,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.5,46903344
-0.917157381105523,40.3128474356467,1273.44,10.46,438.38,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,2.2,33921980
28.0265589296196,56.4473481729141,129.43,6.7,560.87,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.9,54203844
21.3203472239671,47.4203358931913,90.97,11.19,499.66,Agriculture (excluding fallow land and kitchen gardens),Cropland,25,3.2,51722766
