n_estimators,max_features,max_samples,min_samples_split,min_samples_leaf,oob_r2,oob_rmse
100,0.33,0.8,20,5,0.3928858344666507,0.3488608650773765
200,0.33,0.8,20,5,0.39735984644380784,0.3475730563418593
500,0.33,0.8,20,5,0.3982612699389878,0.34731301080152316
100,0.33,0.8,30,5,0.39206374499469965,0.34909698032516284
200,0.33,0.8,30,5,0.39430347670330124,0.3484533231616307
500,0.33,0.8,30,5,0.39628919948888996,0.3478816674580655
100,0.33,0.8,10,10,0.39177641253606543,0.34917946845074743
200,0.33,0.8,10,10,0.39467420766576056,0.34834666726693275
500,0.33,0.8,10,10,0.3941809449025875,0.3484885672585979
100,0.33,0.8,20,10,0.39177641253606543,0.34917946845074743
200,0.33,0.8,20,10,0.39467420766576056,0.34834666726693275
500,0.33,0.8,20,10,0.3941809449025875,0.3484885672585979
100,0.33,0.8,30,10,0.3879144956209064,0.35028627219293834
200,0.33,0.8,30,10,0.3903575779257361,0.34958650570989763
500,0.33,0.8,30,10,0.391512576334789,0.3492551940539004
100,0.33,0.8,10,15,0.38634836924035576,0.35073411983737623
200,0.33,0.8,10,15,0.3874126757619477,0.3504298343200158
500,0.33,0.8,10,15,0.3877202078502877,0.35034186159889014
100,0.33,0.8,20,15,0.38634836924035576,0.35073411983737623
200,0.33,0.8,20,15,0.3874126757619477,0.3504298343200158
500,0.33,0.8,20,15,0.3877202078502877,0.35034186159889014
100,0.33,0.8,30,15,0.38634836924035576,0.35073411983737623
200,0.33,0.8,30,15,0.3874126757619477,0.3504298343200158
500,0.33,0.8,30,15,0.3877202078502877,0.35034186159889014
100,0.5,0.5,10,5,0.39629970951192184,0.34787863930265783
200,0.5,0.5,10,5,0.3994485180560138,0.3469702122650361
500,0.5,0.5,10,5,0.39958521031829464,0.3469307228592263
100,0.5,0.5,20,5,0.3922123768005217,0.3490543030823128
200,0.5,0.5,20,5,0.3946447973457723,0.3483551295385255
500,0.5,0.5,20,5,0.3963586211632958,0.3478616651472351
100,0.5,0.5,30,5,0.3890196126539186,0.34996990935554423
200,0.5,0.5,30,5,0.39164587955293595,0.34921693575173324
500,0.5,0.5,30,5,0.39257702574114706,0.34894957786760405
100,0.5,0.5,10,10,0.3885589601428654,0.3501018155060121
200,0.5,0.5,10,10,0.39181758026542846,0.349167651111365
500,0.5,0.5,10,10,0.39268260563178925,0.34891925002283436
100,0.5,0.5,20,10,0.3885589601428654,0.3501018155060121
200,0.5,0.5,20,10,0.39181758026542846,0.349167651111365
500,0.5,0.5,20,10,0.39268260563178925,0.34891925002283436
100,0.5,0.5,30,10,0.3860093373769312,0.3508309937124364
200,0.5,0.5,30,10,0.38790156147411325,0.3502899731710676
500,0.5,0.5,30,10,0.3888670020423838,0.35001361434859884
100,0.5,0.5,10,15,0.38235202287064685,0.35187432734409474
200,0.5,0.5,10,15,0.3838658445626508,0.3514428503545301
500,0.5,0.5,10,15,0.38453813038963025,0.3512510621448975
100,0.5,0.5,20,15,0.38235202287064685,0.35187432734409474
200,0.5,0.5,20,15,0.3838658445626508,0.3514428503545301
500,0.5,0.5,20,15,0.38453813038963025,0.3512510621448975
100,0.5,0.5,30,15,0.38235202287064685,0.35187432734409474
200,0.5,0.5,30,15,0.3838658445626508,0.3514428503545301
500,0.5,0.5,30,15,0.38453813038963025,0.3512510621448975
100,0.5,0.632,10,5,0.3943088487465227,0.34845177790720766
200,0.5,0.632,10,5,0.3996100651541883,0.34692354199395464
500,0.5,0.632,10,5,0.3999288769628728,0.34683142018928426
100,0.5,0.632,20,5,0.39657498277203684,0.34779931798425034
200,0.5,0.632,20,5,0.399705850571518,0.3468958670282327
500,0.5,0.632,20,5,0.3987569847868824,0.34716992238079086
100,0.5,0.632,30,5,0.39209413638271773,0.34908825434912794
200,0.5,0.632,30,5,0.39437827222880883,0.34843180780445976
500,0.5,0.632,30,5,0.39453037535395663,0.3483880503792659
100,0.5,0.632,10,10,0.38982732504800244,0.3497385037943543
200,0.5,0.632,10,10,0.393745255503807,0.34861385671948064
500,0.5,0.632,10,10,0.3939860746878856,0.3485446108752312
100,0.5,0.632,20,10,0.38982732504800244,0.3497385037943543
200,0.5,0.632,20,10,0.393745255503807,0.34861385671948064
500,0.5,0.632,20,10,0.3939860746878856,0.3485446108752312
100,0.5,0.632,30,10,0.3872899184689057,0.350464944141322
200,0.5,0.632,30,10,0.3912359781042628,0.34933456495726023
500,0.5,0.632,30,10,0.3912676969029757,0.3493254640440264
100,0.5,0.632,10,15,0.38470536646940656,0.35120333713991053
200,0.5,0.632,10,15,0.38687880934592633,0.35058249988268836
500,0.5,0.632,10,15,0.3878405080472255,0.3503074424771899
100,0.5,0.632,20,15,0.38470536646940656,0.35120333713991053
200,0.5,0.632,20,15,0.38687880934592633,0.35058249988268836
