POINT_ID,SHI,hoehe_m,Landuse,Landcover
35902512,3.6,239.8,Forestry,Woodland
36062644,3.05,128.36,Agriculture (excluding fallow land and kitchen gardens),Bareland
36723172,3.85,171.45,Agriculture (excluding fallow land and kitchen gardens),Grassland
35942542,2.55,207.0,Agriculture (excluding fallow land and kitchen gardens),Cropland
36142702,2.2,101.46,Agriculture (excluding fallow land and kitchen gardens),Cropland
36703150,3.55,57.84,Agriculture (excluding fallow land and kitchen gardens),Grassland
35462116,3.2,201.72,Agriculture (excluding fallow land and kitchen gardens),Cropland
35962540,3.25,256.78,Agriculture (excluding fallow land and kitchen gardens),Grassland
35782360,3.15,166.67,Agriculture (excluding fallow land and kitchen gardens),Grassland
35942488,3.5,221.74,Forestry,Woodland
35702280,2.9,365.33,Agriculture (excluding fallow land and kitchen gardens),Cropland
35962500,3.65,183.18,Forestry,Woodland
35502098,2.8,243.72,Agriculture (excluding fallow land and kitchen gardens),Cropland
35802352,2.6,159.15,Agriculture (excluding fallow land and kitchen gardens),Cropland
36502932,3.25,144.61,Agriculture (excluding fallow land and kitchen gardens),Cropland
36603000,3.3,119.23,Agriculture (excluding fallow land and kitchen gardens),Cropland
36102588,3.15,220.51,Semi-natural and natural areas not in use,Woodland
35562112,3.05,199.42,Agriculture (excluding fallow land and kitchen gardens),Cropland
36602982,2.9,132.81,Agriculture (excluding fallow land and kitchen gardens),Cropland
36502900,3.75,205.24,Forestry,Woodland
35702222,3.75,1447.51,Agriculture (excluding fallow land and kitchen gardens),Grassland
