POINT_ID,BD 0-20,Depth,pH_CaCl2,EC,OC,P,N,K,TH_LAT,TH_LONG,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Clay,erosion_by_water
56302764,0.898,0-20 cm,4.6,31.2,34.6,21.5,2.8,195,46.61100652,27.24759614,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,30.0,0.0
52424342,0.944,0-20 cm,3.8,5.2,33.8,21,1.4,53.5,61.15927235,27.25151158,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.0,
52404350,1.216,0-20 cm,4.0,4.43,38,< LOD,1.8,45.7,61.23314341,27.25366027,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,5.0,
56502682,1.237,0-20 cm,7.3,18.73,9.9,1.6,1.3,259.8,45.85361781,27.26554218,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens),9.0,0.299999982118607
57022450,1.26,0-20 cm,7.3,13.65,16,< LOD,1.6,238.4,43.71796373,27.26855401,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens),45.0,0.308817058801651
51504688,0.785,0-20 cm,3.8,5.84,32.3,24.9,2.1,104.6,64.36898843,27.27294269,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,36.0,
56142844,1.103,0-20 cm,7.5,22.69,23.5,< LOD,2.2,326.1,47.34224472,27.27700975,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),25.0,2.65588255388138e-07
52264408,0.679,0-20 cm,3.4,7.74,63.3,10.1,3.2,74.9,61.76768966,27.27954547,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,,
56582658,1.143,0-20 cm,7.2,16.47,15.6,< LOD,1.8,434.8,45.62740757,27.29798976,B53,U111,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens),18.0,0.299999982118607
52044494,0.976,0-20 cm,3.8,4.32,35.9,< LOD,2,30.2,62.56326939,27.29905175,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.0,
52584292,0.301,0-20 cm,3.5,11.0,184.2,50.1,8.4,110.7,60.69000693,27.30100113,C23,U120,Woodland,Other coniferous woodland,Forestry,3.0,
52624278,0.552,0-20 cm,3.6,23.5,161.5,56.5,9.5,151.4,60.55967793,27.30632273,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,37.0,
52404364,0.604,0-20 cm,3.7,7.5,67.2,12.5,3.7,41.5,61.35477152,27.32085138,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,6.0,
