POINT_ID,SHI,height_m,temp_c_mean_1995_2024,rain_mmsqm_mean_1995_2024,land_use,land_cover,lon_x,lat_y,kg_climate_class_label,geom
29322312,3.35,1197.32,12.29,1093.62,Forestry,Woodland,-7.00475849,42.49263551,Csb,"c(-7.00475848977414, 42.492635508594)"
28482206,3.65,886.07,12.84,1048.57,Agriculture,Shrubland,-7.72344563,41.38981111,Csb,"c(-7.72344562888233, 41.3898111055923)"
28542210,3.5,733.35,12.14,1070.79,Semi natural and natural,Shrubland,-7.66365768,41.43747712,Csb,"c(-7.66365768229623, 41.4374771226308)"
28582198,3.4,547.47,13.29,788.79,Semi natural and natural,Woodland,-7.5862877,41.34070601,Csb,"c(-7.58628769851866, 41.3407060059526)"
28762194,3.05,343.32,14.8,596.21,Agriculture,Cropland,-7.36611577,41.34303937,Csa,"c(-7.36611577451618, 41.3430393721825)"
29462254,3.55,1087.38,10.25,881,Semi natural and natural,Shrubland,-6.69355452,42.01164484,Csb,"c(-6.6935545208106, 42.0116448394576)"
29502304,3.9,735.51,12.49,817.1,Forestry,Woodland,-6.770409,42.45870065,Csb,"c(-6.77040899838615, 42.4587006485534)"
29542262,3.3,1015.98,10.25,881,Forestry,Woodland,-6.61866697,42.09780996,Csb,"c(-6.61866697065891, 42.0978099629975)"
29542352,3.85,1402,8.68,1385.48,Semi natural and natural,Shrubland,-6.84397219,42.88791699,Csb,"c(-6.84397219371991, 42.8879169915398)"
29582266,3.65,1120.16,8.9,888,Semi natural and natural,Shrubland,-6.58115321,42.14087134,Csb,"c(-6.58115320544558, 42.1408713448955)"
29582312,3,461.85,13.63,678.45,Agriculture,Cropland,-6.69519305,42.5449014,Csb,"c(-6.69519305352248, 42.5449014045417)"
29702264,3.65,1223.7,8.98,814.69,Forestry,Woodland,-6.43413806,42.14690773,Csb,"c(-6.43413805572186, 42.1469077296055)"
29702300,3.2,1106.68,9.56,873.93,Semi natural and natural,Shrubland,-6.52244276,42.46329089,Csb,"c(-6.52244276472073, 42.4632908946073)"
29722312,3.7,577.01,12.87,670.35,Forestry,Woodland,-6.52830769,42.57265317,Csb,"c(-6.52830768920868, 42.5726531737515)"
29742308,3.35,953.13,11,735.67,Forestry,Woodland,-6.49456165,42.54145433,Csb,"c(-6.49456164855585, 42.5414543330181)"
29822380,3.75,904.97,11.67,1075.09,Forestry,Woodland,-6.57873878,43.1894959,Cfb,"c(-6.57873877914785, 43.1894959037869)"
29922282,3.15,1031.63,10.37,562.32,Semi natural and natural,Shrubland,-6.21671858,42.34802253,Csb,"c(-6.21671857669476, 42.3480225321735)"
29942392,3.75,531.89,11.74,1126.42,Agriculture,Grassland,-6.46433305,43.31853154,Csb,"c(-6.46433304712857, 43.3185315386921)"
29962314,3.55,1059.25,10.57,735.51,Forestry,Woodland,-6.24678334,42.63717318,Csb,"c(-6.2467833416229, 42.6371731821373)"
30002398,3.75,884.5,11.74,1126.42,Agriculture,Grassland,-6.40696321,43.38300125,Cfb,"c(-6.40696320501887, 43.3830012479434)"
30002386,3.8,374.07,11.53,1095.53,Agriculture,Grassland,-6.37682582,43.27762902,Csb,"c(-6.37682582161321, 43.2776290165687)"
30022410,3.85,292.6,13.05,1031.9,Agriculture,Grassland,-6.41302656,43.49228062,Cfb,"c(-6.41302655651059, 43.4922806249552)"
30042340,3.85,1563.84,7.15,1225.79,Semi natural and natural,Shrubland,-6.21465786,42.88125119,Csb,"c(-6.2146578610459, 42.8812511865664)"
30182326,3.7,1052.67,9.22,874.79,Agriculture,Grassland,-6.01275456,42.78508163,Csb,"c(-6.01275455718631, 42.7850816309918)"
30262322,3.8,1021.47,10.13,739.96,Agriculture,Cropland,-5.90728814,42.76513551,Csb,"c(-5.90728814193591, 42.7651355102059)"
30282318,3.5,1134.92,10.4,686.47,Semi natural and natural,Woodland,-5.87375303,42.7337263,Csb,"c(-5.87375303199707, 42.7337262968882)"
30282408,3.3,87.23,14.02,1034.94,Forestry,Woodland,-6.09295356,43.52527293,Cfb,"c(-6.09295356429629, 43.5252729285527)"
30402322,3,1077.19,10.12,684.5,Semi natural and natural,Grassland,-5.73951947,42.79159644,Csb,"c(-5.73951946721695, 42.791596443494)"
31102306,3,1194.72,9.76,697,Semi natural and natural,Grassland,-4.86271403,42.77849066,Csb,"c(-4.86271402684317, 42.7784906602266)"
30962308,2.65,1081.58,10.01,655.85,Agriculture,Cropland,-5.03528601,42.77113547,Csb,"c(-5.03528600868008, 42.7711354688981)"
